 365247.17, 4634507.58
 365311.45, 4634584.19
 365375.73, 4634660.79
 365440.01, 4634737.40
 365504.28, 4634814.00
 365568.56, 4634890.61
 365632.84, 4634967.21
 365697.12, 4635043.82
 365761.40, 4635120.42
 365825.68, 4635197.02
 365889.96, 4635273.63
 365954.24, 4635350.23
 366018.51, 4635426.84
 366082.79, 4635503.44
 366147.07, 4635580.05
 366211.35, 4635656.65
 366275.63, 4635733.26
 366339.91, 4635809.86
 366404.19, 4635886.46
 366468.47, 4635963.07
 366532.74, 4636039.67
 366597.02, 4636116.28
 366661.30, 4636192.88
 366725.58, 4636269.49
 366789.86, 4636346.09
 366854.14, 4636422.70
 366918.42, 4636499.30
 366982.70, 4636575.90
 367046.97, 4636652.51
 367111.25, 4636729.11
 367175.53, 4636805.72
 367239.81, 4636882.32
 367304.09, 4636958.93
 367368.37, 4637035.53
 367432.65, 4637112.14
 367496.93, 4637188.74
 367561.20, 4637265.34
 367625.48, 4637341.95
 367689.76, 4637418.55
 367754.04, 4637495.16
 367818.32, 4637571.76
 367882.60, 4637648.37
 367946.88, 4637724.97
 368011.16, 4637801.58
 368075.43, 4637878.18
 368139.71, 4637954.78
 368203.99, 4638031.39
 368268.27, 4638107.99
 368332.55, 4638184.60
 368396.83, 4638261.20
 368461.11, 4638337.81
 368525.39, 4638414.41
 368589.66, 4638491.02
 368653.94, 4638567.62
 368718.22, 4638644.22
 368782.50, 4638720.83
 368846.78, 4638797.43
 368911.06, 4638874.04
 368975.34, 4638950.64
 369039.62, 4639027.25
 369103.89, 4639103.85
 369168.17, 4639180.46
 369232.45, 4639257.06
 369296.73, 4639333.66
 369361.01, 4639410.27
 369425.29, 4639486.87
 369489.57, 4639563.48
 369553.85, 4639640.08
 369618.12, 4639716.69
 369682.40, 4639793.29
 369746.68, 4639869.90
 369810.96, 4639946.50
 369875.24, 4640023.10
 369939.52, 4640099.71
 370003.80, 4640176.31
 370068.08, 4640252.92
 370132.35, 4640329.52
 370196.63, 4640406.13
 370260.91, 4640482.73
 370325.19, 4640559.34
 370389.47, 4640635.94
 370453.75, 4640712.54
 370518.03, 4640789.15
 370582.31, 4640865.75
 370646.58, 4640942.36
 370710.86, 4641018.96
 370775.14, 4641095.57
 370839.42, 4641172.17
 370903.70, 4641248.78
 370967.98, 4641325.38
 371032.26, 4641401.98
 371096.54, 4641478.59
 371160.81, 4641555.19
 371225.09, 4641631.80
 371289.37, 4641708.40
 371353.65, 4641785.01
 371417.93, 4641861.61
 371482.21, 4641938.22
 371546.49, 4642014.82
 371610.77, 4642091.42
 371675.05, 4642168.03
 371739.32, 4642244.63
 371803.60, 4642321.24
 371867.88, 4642397.84
 371932.16, 4642474.45
 371996.44, 4642551.05
 372060.72, 4642627.66
 372125.00, 4642704.26
 372189.28, 4642780.86
 365323.77, 4634443.31
 365388.05, 4634519.91
 365452.33, 4634596.51
 365516.61, 4634673.12
 365580.89, 4634749.72
 365645.17, 4634826.33
 365709.45, 4634902.93
 365773.72, 4634979.54
 365838.00, 4635056.14
 365902.28, 4635132.75
 365966.56, 4635209.35
 366030.84, 4635285.95
 366095.12, 4635362.56
 366159.40, 4635439.16
 366223.68, 4635515.77
 366287.95, 4635592.37
 366352.23, 4635668.98
 366416.51, 4635745.58
 366480.79, 4635822.19
 366545.07, 4635898.79
 366609.35, 4635975.39
 366673.63, 4636052.00
 366737.91, 4636128.60
 366802.18, 4636205.21
 366866.46, 4636281.81
 366930.74, 4636358.42
 366995.02, 4636435.02
 367059.30, 4636511.63
 367123.58, 4636588.23
 367187.86, 4636664.83
 367252.14, 4636741.44
 367316.41, 4636818.04
 367380.69, 4636894.65
 367444.97, 4636971.25
 367509.25, 4637047.86
 367573.53, 4637124.46
 367637.81, 4637201.07
 367702.09, 4637277.67
 367766.37, 4637354.27
 367830.65, 4637430.88
 367894.92, 4637507.48
 367959.20, 4637584.09
 368023.48, 4637660.69
 368087.76, 4637737.30
 368152.04, 4637813.90
 368216.32, 4637890.51
 368280.60, 4637967.11
 368344.88, 4638043.71
 368409.15, 4638120.32
 368473.43, 4638196.92
 368537.71, 4638273.53
 368601.99, 4638350.13
 368666.27, 4638426.74
 368730.55, 4638503.34
 368794.83, 4638579.95
 368859.11, 4638656.55
 368923.38, 4638733.15
 368987.66, 4638809.76
 369051.94, 4638886.36
 369116.22, 4638962.97
 369180.50, 4639039.57
 369244.78, 4639116.18
 369309.06, 4639192.78
 369373.34, 4639269.39
 369437.61, 4639345.99
 369501.89, 4639422.59
 369566.17, 4639499.20
 369630.45, 4639575.80
 369694.73, 4639652.41
 369759.01, 4639729.01
 369823.29, 4639805.62
 369887.57, 4639882.22
 369951.84, 4639958.83
 370016.12, 4640035.43
 370080.40, 4640112.03
 370144.68, 4640188.64
 370208.96, 4640265.24
 370273.24, 4640341.85
 370337.52, 4640418.45
 370401.80, 4640495.06
 370466.07, 4640571.66
 370530.35, 4640648.27
 370594.63, 4640724.87
 370658.91, 4640801.47
 370723.19, 4640878.08
 370787.47, 4640954.68
 370851.75, 4641031.29
 370916.03, 4641107.89
 370980.30, 4641184.50
 371044.58, 4641261.10
 371108.86, 4641337.71
 371173.14, 4641414.31
 371237.42, 4641490.91
 371301.70, 4641567.52
 371365.98, 4641644.12
 371430.26, 4641720.73
 371494.53, 4641797.33
 371558.81, 4641873.94
 371623.09, 4641950.54
 371687.37, 4642027.15
 371751.65, 4642103.75
 371815.93, 4642180.35
 371880.21, 4642256.96
 371944.49, 4642333.56
 372008.76, 4642410.17
 372073.04, 4642486.77
